項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
賃貸費用、営業外費用,435,Prior1YTDDuration,連結,期間,円
未成工事受入金の増減額（△は減少）、営業活動によるキャッシュ・フロー、建設業,434,Prior1YTDDuration,連結,期間,円
退職給付に係る資産の増減額（△は増加）、営業活動によるキャッシュ・フロー（IFRS）,434,Prior1YTDDuration,その他,期間,円
事業譲受による支出、投資活動によるキャッシュ・フロー,433,Prior1YTDDuration,連結,期間,円
設備関係支払手形,432,Prior1YearInstant,連結,時点,円
利息及び配当金等収入、経常収益、保険業,430,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
持分法適用の範囲の変更 [テキストブロック],429,CurrentYearDuration,その他,期間,－
外国為替、負債の部、銀行業,428,Prior1YearInstant,連結,時点,円
未払又は未収消費税等の増減額、営業活動によるキャッシュ・フロー,427,Prior1YTDDuration,連結,期間,円
子会社清算益、特別利益,427,Prior1YTDDuration,連結,期間,円
運送費及び保管費、販売費及び一般管理費,425,Prior1YTDDuration,連結,期間,円
顧客との契約から生じる収益,425,CurrentYTDDuration_jpcrp040300-q1r_E01138-000JapanHousingEquipmentBusinessReportableSegmentsMember,連結,期間,円
開示への参照２、監査上の主要な検討事項、個別,423,FilingDateInstant_Row1Member,その他,時点,－
特別退職金、特別損失,422,Prior1YTDDuration,連結,期間,円
その他の包括利益累計額（IFRS）,421,Prior1YearInstant,その他,時点,円
仕入債務及びその他の債務の増減額（△は減少）、営業活動によるキャッシュ・フロー（IFRS）,418,Prior1YTDDuration,その他,期間,円
保険積立金の積立による支出、投資活動によるキャッシュ・フロー,418,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
契約資産の増減額（△は増加）、営業活動によるキャッシュ・フロー（IFRS）,418,Prior1YTDDuration,その他,期間,円
売上債権及びその他の債権の増減額（△は増加）、営業活動によるキャッシュ・フロー（IFRS）,418,Prior1YTDDuration_NonConsolidatedMember,その他,期間,円
建物附属設備,417,Prior1YearInstant,連結,時点,円
売上債権及び契約資産の増減額（△は増加）、営業活動によるキャッシュ・フロー,417,Prior1YearDuration,連結,期間,円
注記事項－重要な会計方針、連結財務諸表（IFRS） [テキストブロック],416,CurrentYearDuration,その他,期間,－
リース投資資産、流動資産,416,Prior1YearInstant,連結,時点,円
株主資本（US GAAP）、経営指標等,411,Prior1QuarterInstant,その他,時点,円
保有目的、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,411,CurrentYearInstant_Row1Member,その他,時点,－
有形固定資産除却損、営業活動によるキャッシュ・フロー,411,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
補助金収入（IFRS）,409,Prior1YearDuration,その他,期間,円
社債の発行及び長期借入れによる収入、財務活動によるキャッシュ・フロー（IFRS）,408,Prior1YTDDuration,その他,期間,円
営業費、鉄道事業,408,Prior1YTDDuration,連結,期間,円
運輸業等営業費及び売上原価、鉄道事業,408,Prior1YTDDuration,連結,期間,円
注記事項－コミットメント、連結財務諸表（IFRS） [テキストブロック],408,CurrentYearDuration,その他,期間,－
コミットメントフィー、営業外費用,407,Prior1YTDDuration,連結,期間,円
注記事項－未適用の新基準、連結財務諸表（IFRS） [テキストブロック],406,CurrentYearDuration,その他,期間,－
注記事項－要約四半期連結財務諸表の承認（IFRS） [テキストブロック],406,CurrentYTDDuration,その他,期間,－
電気事業営業費用、電気事業,406,Prior1YTDDuration,連結,期間,円
短期社債,402,Prior1YearInstant,連結,時点,円
業務受託料、営業外収益,402,Prior1YearDuration,連結,期間,円
定期預金の増減額（△は増加）、投資活動によるキャッシュ・フロー,400,Prior1YTDDuration,連結,期間,円
船舶（純額）,400,Prior1YearInstant,連結,時点,円
１株当たり情報、財務諸表 [テキストブロック],399,CurrentYearDuration,その他,期間,－
顧客関連資産（IFRS）,399,Prior1YearInstant,その他,時点,円
受注損失引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,398,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
長期前払費用の取得による支出、投資活動によるキャッシュ・フロー,397,Prior1YTDDuration,連結,期間,円
顧客関連資産、取得原価（IFRS）,395,Prior1YearInstant,その他,時点,円
顧客関連資産、償却累計額及び減損損失累計額（IFRS）,395,Prior1YearInstant,その他,時点,円
従業員給料及び賞与、販売費及び一般管理費,394,Prior1YTDDuration,連結,期間,円
特定取引資産、資産の部、銀行業,394,Prior1YearInstant,連結,時点,円
注記事項－その他の金融負債、連結財務諸表（IFRS） [テキストブロック],394,CurrentYearDuration,その他,期間,－
営業未収入金、流動資産,394,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
資金調達費用、営業外費用,393,Prior1YTDDuration,連結,期間,円
役員のうち男性の人数（議案）,393,FilingDateInstant,その他,時点,
減価償却費、営業外費用,392,Prior1YTDDuration,連結,期間,円
特定取引収益、経常収益、銀行業,392,Prior1InterimDuration,連結,期間,円
営業債権及びその他の債権、非流動資産（IFRS）,392,Prior1YearInstant,その他,時点,円
固定資産売却益、営業活動によるキャッシュ・フロー,392,Prior1YTDDuration,連結,期間,円
販売費、販売費及び一般管理費,392,Prior1YearDuration,連結,期間,円
従業員給料手当、販売費及び一般管理費、建設業,391,Prior1YTDDuration,連結,期間,円
役員のうち女性の人数（議案）,391,FilingDateInstant,その他,時点,
従業員に対する長期貸付金,391,Prior1YearInstant,連結,時点,円
報告セグメントの変更に関する事項 [テキストブロック],391,CurrentYearDuration,その他,期間,－
役員のうち女性の比率（議案）,391,FilingDateInstant,その他,時点,
有価証券の売却及び償還による収入、投資活動によるキャッシュ・フロー,390,Prior1YTDDuration,連結,期間,円
スコープ3の温室効果ガス総排出量,390,Prior1YearDuration,その他,期間,
注記事項－社債、要約四半期連結財務諸表（IFRS） [テキストブロック],389,CurrentYTDDuration,その他,期間,－
敷金の差入による支出、投資活動によるキャッシュ・フロー,388,Prior1YTDDuration,連結,期間,円
第１四半期又は第３四半期に係る四半期報告書において四半期連結キャッシュ・フロー計算書を記載する場合の記載、経理の状況,388,CurrentYTDDuration,その他,期間,－
有価証券関係、四半期連結財務諸表 [テキストブロック],387,CurrentYTDDuration,その他,期間,－
投資有価証券評価損、営業外費用,386,Prior1YTDDuration,連結,期間,円
他の記載への参照、リスク管理,385,FilingDateInstant,その他,時点,－
工事未払金、建設業,384,Prior1YearInstant,連結,時点,円
旅費及び交通費、販売費及び一般管理費,384,Prior1YearDuration,連結,期間,円
社債の償還及び長期借入金の返済、財務活動によるキャッシュ・フロー（IFRS）,384,Prior1YTDDuration,その他,期間,円
保険解約返戻金、営業外収益,383,Prior1YearDuration,連結,期間,円
特定取引負債、負債の部、銀行業,382,Prior1YearInstant,連結,時点,円
立替金,382,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
完成工事未収入金、建設業,382,Prior1YearInstant,連結,時点,円
デリバティブ評価益、営業外収益,381,Prior1YTDDuration,連結,期間,円
注記事項－社債及び借入金、連結財務諸表（IFRS） [テキストブロック],381,CurrentYearDuration,その他,期間,－
運賃、販売費及び一般管理費,380,Prior1YTDDuration,連結,期間,円
関係会社清算損、特別損失,379,Prior1YTDDuration,連結,期間,円
コマーシャル・ペーパーの増減額（△は減少）、財務活動によるキャッシュ・フロー,374,Prior1YTDDuration,連結,期間,円
注記事項－重要性がある会計方針、要約四半期連結財務諸表（IFRS） [テキストブロック],373,CurrentYTDDuration,その他,期間,－
短期貸付金の純増減額（△は増加）、投資活動によるキャッシュ・フロー,373,Prior1YTDDuration,連結,期間,円
信託報酬、銀行業,372,Prior1InterimDuration,連結,期間,円
持分法で会計処理されている投資の売却による収入、投資活動によるキャッシュ・フロー（IFRS）,372,Prior1YTDDuration,その他,期間,円
短期貸付金の増減額（△は増加）、投資活動によるキャッシュ・フロー,372,Prior1YTDDuration,連結,期間,円
持分法適用会社に対する持分変動に伴う自己株式の増減,371,CurrentYearDuration_TreasuryStockMember,連結,期間,円
寄付金、営業外費用,370,Prior1YearDuration,連結,期間,円
商標権（IFRS）,369,Prior1YearInstant,その他,時点,円
注記事項－その他の負債、連結財務諸表（IFRS） [テキストブロック],365,CurrentYearDuration,その他,期間,－
自己株式の純増減額（△は増加）、財務活動によるキャッシュ・フロー（IFRS）,364,CurrentYTDDuration,その他,期間,円
特別償却準備金,364,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
敷金及び保証金の回収による収入、投資活動によるキャッシュ・フロー（IFRS）,364,Prior1YTDDuration,その他,期間,円
負ののれん（相殺前）,362,Prior1YearInstant_jpcrp030000-asr_E00751-000PetrochemicalsReportableSegmentsMember,その他,時点,円
商標権、取得原価（IFRS）,361,Prior1YearInstant,その他,時点,円
持分法を適用した非連結子会社の数,361,CurrentYearInstant,その他,時点,
