項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
様式、DEI,11056,FilingDateInstant,その他,時点,－
連結決算の有無、DEI,11056,FilingDateInstant,その他,時点,－
前事業年度開始日、DEI,11056,FilingDateInstant,その他,時点,－
比較対象会計期間終了日、DEI,11056,FilingDateInstant,その他,時点,－
電話番号、最寄りの連絡場所、表紙,11056,FilingDateInstant,その他,時点,－
会計基準、DEI,11056,FilingDateInstant,その他,時点,－
次の事業年度開始日、DEI,11056,FilingDateInstant,その他,時点,－
提出日、表紙,11056,FilingDateInstant,その他,時点,－
提出回数、DEI,11056,FilingDateInstant,その他,時点,
提出者名（日本語表記）、DEI,11056,FilingDateInstant,その他,時点,－
提出者名（英語表記）、DEI,11056,FilingDateInstant,その他,時点,－
提出書類、表紙,11056,FilingDateInstant,その他,時点,－
根拠条文、表紙,11056,FilingDateInstant,その他,時点,－
ファンド名称（日本語表記）、DEI,11056,FilingDateInstant,その他,時点,－
提出先、表紙,11056,FilingDateInstant,その他,時点,－
証券コード、DEI,11056,FilingDateInstant,その他,時点,－
ファンドコード、DEI,11056,FilingDateInstant,その他,時点,－
本店の所在の場所、表紙,11056,FilingDateInstant,その他,時点,－
電話番号、本店の所在の場所、表紙,11056,FilingDateInstant,その他,時点,－
代表者の役職氏名、表紙,11056,FilingDateInstant,その他,時点,－
英訳名、表紙,11056,FilingDateInstant,その他,時点,－
会社名、表紙,11056,FilingDateInstant,その他,時点,－
行使価額修正条項付新株予約権付社債券等の行使状況等 [テキストブロック],11055,FilingDateInstant,その他,時点,－
発行済株式、株式の総数等 [テキストブロック],11055,FilingDateInstant,その他,時点,－
事業の内容 [テキストブロック],11055,FilingDateInstant,その他,時点,－
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析 [テキストブロック],11055,FilingDateInstant,その他,時点,－
監査証明について、経理の状況,11055,CurrentYTDDuration,その他,期間,－
事業等のリスク [テキストブロック],11054,FilingDateInstant,その他,時点,－
事務連絡者氏名、本店の所在の場所、表紙,11053,FilingDateInstant,その他,時点,－
自己株式等 [テキストブロック],11052,FilingDateInstant,その他,時点,－
発行済株式、議決権の状況 [テキストブロック],11051,FilingDateInstant,その他,時点,－
大株主の状況 [テキストブロック],11051,FilingDateInstant,その他,時点,－
役員の状況 [テキストブロック],11050,FilingDateInstant,その他,時点,－
提出会社の保証会社等の情報 [テキストブロック],11007,FilingDateInstant,その他,時点,－
当期利益又は当期損失（△）：親会社の所有者に帰属（IFRS）、経営指標等,10938,Prior1YTDDuration,その他,期間,円
セグメント表の脚注 [テキストブロック],10917,Prior1YTDDuration,その他,期間,－
売上収益（IFRS）、経営指標等,10835,Prior1YTDDuration,その他,期間,円
１年内返済予定の長期借入金,10752,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
報酬等の総額、役員区分ごとの報酬等,10745,CurrentYearDuration_jpcrp030000-asr_E35821-000DirectorsExcludingAuditCommitteeMembersMember,その他,期間,円
退職給付に係る負債,10649,Prior1YearInstant,連結,時点,円
経営上の重要な契約等 [テキストブロック],10598,FilingDateInstant,その他,時点,－
新株予約権,10539,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
非支配株主持分,10481,Prior1YearInstant,連結,時点,円
設備投資額、設備投資等の概要,10459,CurrentYearDuration,その他,期間,円
売掛金,10457,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
原材料及び貯蔵品,10448,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
対象となる役員の員数、役員区分ごとの報酬等,10408,CurrentYearDuration_jpcrp030000-asr_E35821-000DirectorsExcludingAuditCommitteeMembersMember,その他,期間,
売上総利益（IFRS）,10397,Prior1YearDuration,その他,期間,円
現金及び現金同等物の増減額（△は減少）,10370,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
営業活動によるキャッシュ・フロー,10370,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
投資活動によるキャッシュ・フロー,10358,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
財務活動によるキャッシュ・フロー,10358,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
小計、営業活動によるキャッシュ・フロー,10332,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
固定資産売却益、特別利益,10164,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
次の四半期又は中間期の会計期間終了日、DEI,10121,FilingDateInstant,その他,時点,－
