Code,mean,count,std,min,max
3496,0.31667114395121954,41,0.324438158199899,-0.403701752,0.72786814
4204,0.3166643422168675,1245,0.252587017007083,-0.726874471,0.829875767
6845,0.31659913747465435,217,0.23798128736025945,-0.317652166,0.83120501
2760,0.31632267414396886,514,0.2557489610957943,-0.703129709,0.823293746
2327,0.3158058439109357,887,0.22375559384265925,-0.691964746,0.830340266
9104,0.3135669477592362,2409,0.2558111049906418,-0.718257189,0.827362895
1808,0.31305256493776823,1398,0.24728236405703485,-0.692852616,0.819838405
7751,0.31244956597985957,7547,0.2356691708614566,-0.728867173,0.829021752
9069,0.31215688261518987,395,0.24364760765517643,-0.687815785,0.782790542
8425,0.3118197982905569,413,0.2686778834744595,-0.724188685,0.839702189
4448,0.31074166336486486,74,0.2804263320512331,-0.549710989,0.786650896
3989,0.3103970508208955,268,0.23244473478591207,-0.634080946,0.71876061
8439,0.310069158346901,1081,0.2724915876232488,-0.595675349,0.83241117
9006,0.3099931336703994,2679,0.23395307983091881,-0.706163585,0.816623688
3064,0.30982094395493565,466,0.2787279435648127,-0.665304005,0.828432441
7048,0.3096866791542857,175,0.22804751324008907,-0.620495856,0.703214526
8410,0.3096125845466588,3397,0.25680760070777303,-0.712056518,0.825889111
5595,0.30936464620000004,245,0.26325241600120364,-0.592428267,0.79341948
3774,0.30911473763745495,1666,0.2455613293644868,-0.683247626,0.819813967
4755,0.30872172844399537,5196,0.2831643700835064,-0.698060215,0.832245111
7988,0.30834158191428573,70,0.26630742138948676,-0.598008394,0.814662337
2317,0.30705216578333333,60,0.27372273201459185,-0.57118088,0.751392186
8923,0.3069150223311688,154,0.2747770874356419,-0.693874121,0.813704014
2986,0.30614497972380955,210,0.23161111945751012,-0.697919369,0.737870395
7068,0.30581215487499996,96,0.28888774551332036,-0.58994472,0.822302341
5129,0.3053841406861314,274,0.2184079315375884,-0.578716457,0.665291786
5139,0.3043222357480695,1036,0.19489558498170512,-0.578891397,0.767586172
7994,0.3038253145134844,927,0.22134683998509835,-0.718718767,0.757369816
7047,0.3035069026267094,6874,0.2242845127327046,-0.70294559,0.826357901
5586,0.30312772589795917,147,0.21330370259682405,-0.395602763,0.815907598
9759,0.3023883267810651,169,0.2382786221255909,-0.596158504,0.752202034
8801,0.3023626181955186,2767,0.2777672005701252,-0.721039295,0.83541429
7343,0.3020765141372549,102,0.25624789270548115,-0.690974116,0.780123949
6040,0.3017487754180328,488,0.2442174792467803,-0.717645466,0.837809563
1802,0.30133843377548075,2080,0.26763228580972015,-0.714356601,0.808941782
1414,0.3010225322435897,78,0.2489021969957916,-0.478029191,0.825165153
7318,0.30071516870238096,84,0.2417436484186505,-0.251843929,0.746766388
5444,0.3002036810989148,2396,0.26916659391612524,-0.748525858,0.828678012
8850,0.29989966073703705,270,0.24370127449590606,-0.61124593,0.833595455
4169,0.29969509856852794,197,0.3253183501273702,-0.640617907,0.749374032
4475,0.2992378318193277,238,0.24537994943153893,-0.478849769,0.798429072
4056,0.29909031827848104,79,0.2658604126418032,-0.635214925,0.681274056
6632,0.29886059942561305,1835,0.22703432058963147,-0.692147613,0.820569277
8919,0.2985496460075758,132,0.3151048522570477,-0.505471587,0.842683196
9168,0.2977640304482759,58,0.2998786206688361,-0.603684425,0.82444489
8267,0.2973087222204263,8538,0.24877888913932786,-0.727625549,0.843688309
6728,0.295992808075,120,0.3092513906247393,-0.71030581,0.831115603
6472,0.2954985100455764,746,0.2563776937496448,-0.705852568,0.759975076
4980,0.29542559352694614,167,0.26974248438177534,-0.682762146,0.809778333
1911,0.29538303605607474,1712,0.2692388826347829,-0.718710661,0.836347759
245A,0.2953639923793104,29,0.22901437632338015,-0.445339352,0.825615406
4058,0.2947129581238095,105,0.22471641368601808,-0.442245632,0.641723692
4477,0.29413029196127244,4338,0.22507898406649704,-0.721676171,0.827920496
4417,0.29408070002479336,121,0.2152693062903645,-0.383596599,0.741696477
4088,0.29385570809938366,1298,0.24106985282980434,-0.675507069,0.799629509
3291,0.2933112090632689,569,0.29710343422730034,-0.713551998,0.82134974
9270,0.29260308898985804,493,0.21270659079061552,-0.642147541,0.727583766
6702,0.29257734998566465,6906,0.2652713706174324,-0.724293888,0.839008391
8133,0.2917645362015306,392,0.27570116351616497,-0.699898183,0.779869735
2181,0.2912632059733701,1089,0.2311254371553642,-0.716307163,0.781616569
8130,0.29078878017024795,605,0.2150956465333292,-0.475539267,0.845122039
2685,0.2905979582726708,1610,0.2532053169525689,-0.698862016,0.845288157
7740,0.2898641151048035,1145,0.19223634470960396,-0.676291525,0.791360617
6069,0.28939079795652173,230,0.24217350761319892,-0.63665992,0.808136106
7409,0.2889260466956522,23,0.3286256339181724,-0.694493413,0.748252153
4005,0.288783943077479,3459,0.26233408603202907,-0.731755733,0.832458436
8056,0.2885327212462988,743,0.27662743074340285,-0.719894886,0.813286006
4716,0.2880078722762148,1955,0.23996662105026792,-0.69193846,0.807701647
