code,name,is_nikkei_225,is_topix_core30,is_topix_100,is_jpx_nikkei_400,is_growth_core,is_growth_250
5344,ＭＡＲＵＷＡ,0,0,0,1,0,0
5393,ニチアス,0,0,0,1,0,0
5401,日本製鉄,1,0,1,1,0,0
5406,神戸鋼,1,0,0,1,0,0
5411,ＪＦＥ,1,0,0,1,0,0
5423,東京製鐵,0,0,0,1,0,0
5444,大和工業,0,0,0,1,0,0
5471,大同特殊鋼,0,0,0,1,0,0
5480,日本冶金工業,0,0,0,1,0,0
5570,ジェノバ,0,0,0,0,0,1
5572,Ｒｉｄｇｅ－ｉ,0,0,0,0,0,1
5574,ＡＢＥＪＡ,0,0,0,0,0,1
5582,グリッド,0,0,0,0,0,1
5585,エコナビスタ,0,0,0,0,0,1
5586,Ｌａｂｏｒｏ．ＡＩ,0,0,0,0,0,1
5588,ファーストアカウンティング,0,0,0,0,0,1
5590,ネットスターズ,0,0,0,0,0,1
5591,ＡＶＩＬＥＮ,0,0,0,0,0,1
5592,くすりの窓口,0,0,0,0,0,1
5595,ＱＰＳ研究所,0,0,0,0,0,1
5621,ヒューマンテクノロジーズ,0,0,0,0,0,1
5631,日製鋼,1,0,0,0,0,0
5706,三井金,1,0,0,1,0,0
5711,三菱マ,1,0,0,0,0,0
5713,住友鉱,1,0,0,1,0,0
5714,ＤＯＷＡ,1,0,0,1,0,0
5759,日本電解,0,0,0,0,0,1
5801,古河電,1,0,0,0,0,0
5802,住友電,1,0,1,1,0,0
5803,フジクラ,1,0,0,1,0,0
5805,ＳＷＣＣ,0,0,0,1,0,0
5831,しずおかＦＧ,1,0,0,0,0,0
5834,ＳＢＩリーシングサービス,0,0,0,0,0,1
5842,インテグラル,0,0,0,0,1,1
5857,ＡＲＥホールディングス,0,0,0,1,0,0
5888,ＤＡＩＷＡ　ＣＹＣＬＥ,0,0,0,0,0,1
5892,ｙｕｔｏｒｉ,0,0,0,0,0,1
5929,三和ホールディングス,0,0,0,1,0,0
5947,リンナイ,0,0,0,1,0,0
5991,日本発條,0,0,0,1,0,0
6005,三浦工業,0,0,0,1,0,0
6026,ＧＭＯ　ＴＥＣＨ,0,0,0,0,0,1
6027,弁護士ドットコム,0,0,0,0,1,1
6028,テクノプロ・ホールディングス,0,0,0,1,0,0
6030,アドベンチャー,0,0,0,0,0,1
6031,ＺＥＴＡ,0,0,0,0,0,1
6040,日本スキー場開発,0,0,0,0,0,1
6069,トレンダーズ,0,0,0,0,0,1
6086,シンメンテホールディングス,0,0,0,0,0,1
6094,フリークアウト・ホールディングス,0,0,0,0,0,1
6098,リクルート,1,1,1,1,0,0
6101,ツガミ,0,0,0,1,0,0
6103,オークマ,1,0,0,0,0,0
6113,アマダ,1,0,0,1,0,0
6141,ＤＭＧ森精機,0,0,0,1,0,0
6146,ディスコ,1,0,1,1,0,0
6176,ブランジスタ,0,0,0,0,0,1
6178,日本郵政,1,0,1,0,0,0
6182,メタリアル,0,0,0,0,0,1
6201,豊田自動織機,0,0,0,1,0,0
6224,ＪＲＣ,0,0,0,0,0,1
