name,Code,データ有無,データ開始日,データ終了日,レコード数,営業日カバレッジ (%),欠損項目
太陽ホールディングス,4626,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＯＬＣ,4661,有り,2018-05-30,2025-09-26,1796,93.88,無し
パーク２４,4666,有り,2018-05-30,2025-09-26,1796,93.88,無し
ラウンドワン,4680,有り,2018-05-30,2025-09-26,1796,93.88,無し
リゾートトラスト,4681,有り,2018-05-30,2025-09-26,1796,93.88,無し
オービック,4684,有り,2018-05-30,2025-09-26,1796,93.88,無し
ジャストシステム,4686,有り,2018-05-30,2025-09-26,1796,93.88,無し
ラインヤフー,4689,有り,2018-05-30,2025-09-26,1796,93.88,無し
トレンド,4704,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本オラクル,4716,有り,2018-05-30,2025-09-26,1796,93.88,無し
フューチャー,4722,有り,2018-05-30,2025-09-26,1796,93.88,無し
ユー・エス・エス,4732,有り,2018-05-30,2025-09-26,1796,93.88,無し
サイバー,4751,有り,2018-05-30,2025-09-26,1796,93.88,無し
楽天グループ,4755,有り,2018-05-30,2025-09-26,1796,93.88,無し
大塚商会,4768,有り,2018-05-30,2025-09-26,1796,93.88,無し
ストリームメディアコーポレーション,4772,有り,2018-05-30,2025-09-26,1796,93.88,無し
ドリーム・アーツ,4811,有り,2024-04-08,2025-09-26,361,93.77,無し
電通総研,4812,有り,2018-05-30,2025-09-26,1796,93.88,無し
東映アニメーション,4816,有り,2018-05-30,2025-09-26,1796,93.88,無し
ペルセウスプロテオミクス,4882,有り,2021-11-29,2025-09-26,938,93.8,無し
ステラファーマ,4888,有り,2021-10-01,2025-09-26,977,93.85,無し
坪田ラボ,4890,有り,2022-11-30,2025-09-26,693,93.9,無し
ティムス,4891,有り,2023-04-28,2025-09-26,591,93.66,無し
ノイルイミューン・バイオテック,4893,有り,2023-12-04,2025-09-26,444,93.47,無し
クオリプス,4894,有り,2023-12-01,2025-09-26,445,93.49,無し
ケイファーマ,4896,有り,2024-03-27,2025-09-26,369,93.89,無し
富士フイルム,4901,有り,2018-05-30,2025-09-26,1796,93.88,無し
コニカミノル,4902,有り,2018-05-30,2025-09-26,1796,93.88,無し
資生堂,4911,有り,2018-05-30,2025-09-26,1796,93.88,無し
ライオン,4912,有り,2018-05-30,2025-09-26,1796,93.88,無し
小林製薬,4967,有り,2018-05-30,2025-09-26,1796,93.88,無し
リプロセル,4978,有り,2018-05-30,2025-09-26,1796,93.88,無し
デクセリアルズ,4980,有り,2018-05-30,2025-09-26,1796,93.88,無し
出光興産,5019,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＥＮＥＯＳ,5020,有り,2018-05-30,2025-09-26,1796,93.88,無し
コスモエネルギーホールディングス,5021,有り,2018-05-30,2025-09-26,1796,93.88,無し
トリプルアイズ,5026,有り,2022-11-07,2025-09-26,709,93.91,無し
ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,5027,有り,2023-09-01,2025-09-26,506,93.53,無し
ＡＮＹＣＯＬＯＲ,5032,有り,2022-11-15,2025-09-26,703,93.86,無し
ｕｎｅｒｒｙ,5034,有り,2023-01-05,2025-09-26,669,93.96,無し
ｅＷｅＬＬ,5038,有り,2023-02-28,2025-09-26,633,93.92,無し
インフロニア・ホールディングス,5076,有り,2022-03-10,2025-09-26,870,93.85,無し
浜ゴム,5101,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＴＯＹＯ　ＴＩＲＥ,5105,有り,2018-05-30,2025-09-26,1796,93.88,無し
ブリヂストン,5108,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＦＩＸＥＲ,5129,有り,2023-03-15,2025-09-26,622,93.82,無し
ｐｌｕｓｚｅｒｏ,5132,有り,2023-04-07,2025-09-26,606,93.81,無し
ｔｒｉｐｌａ,5136,有り,2023-05-02,2025-09-26,589,93.64,無し
スマートドライブ,5137,有り,2023-05-25,2025-09-26,575,93.95,無し
オープンワーク,5139,有り,2023-05-26,2025-09-26,574,93.94,無し
ＡＧＣ,5201,有り,2018-05-30,2025-09-26,1796,93.88,無し
日電硝,5214,有り,2018-05-30,2025-09-26,1796,93.88,無し
太平洋セメ,5233,有り,2018-05-30,2025-09-26,1796,93.88,無し
ｎｏｔｅ,5243,有り,2023-05-31,2025-09-26,571,93.91,無し
ｊｉｇ．ｊｐ,5244,有り,2023-06-01,2025-09-26,570,93.9,無し
ＥＬＥＭＥＮＴＳ,5246,有り,2023-06-06,2025-09-26,567,93.87,無し
テクノロジーズ,5248,有り,2023-07-04,2025-09-26,547,93.66,無し
カバー,5253,有り,2023-08-30,2025-09-26,508,93.55,無し
Ａｒｅｎｔ,5254,有り,2023-08-31,2025-09-26,507,93.54,無し
トランザクション・メディア・ネットワークス,5258,有り,2023-09-07,2025-09-26,502,93.48,無し
東海カーボン,5301,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＴＯＴＯ,5332,有り,2018-05-30,2025-09-26,1796,93.88,無し
ガイシ,5333,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本特殊陶業,5334,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＭＡＲＵＷＡ,5344,有り,2018-05-30,2025-09-26,1796,93.88,無し
ニチアス,5393,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本製鉄,5401,有り,2018-05-30,2025-09-26,1796,93.88,無し
神戸鋼,5406,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＪＦＥ,5411,有り,2018-05-30,2025-09-26,1796,93.88,無し
東京製鐵,5423,有り,2018-05-30,2025-09-26,1796,93.88,無し
大和工業,5444,有り,2018-05-30,2025-09-26,1796,93.88,無し
