DocID,NetSales,OperatingIncome,Method
S100R3O2,460834000000.0,76452000000.0,Rule
S100R3OA,1804001000000.0,103737000000.0,Rule
S100N5CH,3531670000.0,-332162000.0,Rule
S100N5EY,5666589000000.0,89245000000.0,Rule
S100SSTR,7884554000.0,361604000.0,Rule
S100SSUU,331278000000.0,34298000000.0,Rule
S100P1F9,9097417000.0,561317000.0,Rule
S100P1F6,189000000.0,-1228000000.0,Rule
S100R3OV,456479000000.0,44409000000.0,Rule
S100N5UY,161192000000.0,6805000000.0,Rule
S100L2L5,11903826000.0,1673972000.0,Rule
S100SSV2,1053324000000.0,51253000000.0,Rule
S100L2LK,242886000000.0,17660000000.0,Rule
S100R3VK,146801000000.0,34494000000.0,Rule
S100P1U4,328335000000.0,14070000000.0,Rule
S100N5Z4,106865000000.0,28176000000.0,Rule
S100UTUU,,,Rule
S100P22Z,366096000000.0,22083000000.0,Rule
S100L2LM,201542000000.0,7858000000.0,Rule
S100SSVT,601069000000.0,9272000000.0,Rule
S100R3YD,508400000000.0,62328000000.0,Rule
S100UUTP,6588712000.0,304776000.0,Rule
S100N67P,122946000000.0,11147000000.0,Rule
S100UUTT,2766251000.0,290341000.0,Rule
S100SSWF,1003363000000.0,81814000000.0,Rule
S100P2NM,214691000000.0,73213000000.0,Rule
S100L2ML,839881000000.0,47462000000.0,Rule
S100UTWM,,,Rule
S100R3Z8,541824000000.0,26235000000.0,Rule
S100L2PW,343764000000.0,36328000000.0,Rule
S100N6MU,756403000000.0,29815000000.0,Rule
S100UUAQ,,,Rule
S100R3ZD,61186000000.0,54754000000.0,Rule
S100P32D,240760000000.0,11893000000.0,Rule
S100UUUO,4453271000.0,824257000.0,Rule
S100N6W4,102084000000.0,34079000000.0,Rule
S100UU7L,,,Rule
S100N6QV,4415000000.0,257000000.0,Rule
S100SSXA,3111380000.0,302541000.0,Rule
S100SSX1,6300306000000.0,320257000000.0,Rule
